Priority,Issue,Evidence,Why it matters,Fix,Impact,Effort,Time-to-signal,Owner,ETA
1,Search Console verification and sitemap submission not confirmed,"Context lists GSC access as unknown; sitemap returns HTTP 200 at /sitemap.xml","Without GSC, indexing and query opportunity are guesses","Verify domain in GSC, submit sitemap, inspect top money pages",High,Low,Days,Site owner/Codex,1 day
2,Incomplete schema on money/support pages,"No JSON-LD detected on stay-guide.html, list-your-rv.html, investing-units-for-sale.html, dollywood.html","Schema helps clarify page entity, breadcrumb, and page purpose","Add appropriate WebPage/BreadcrumbList and LodgingBusiness/Service-style schema where visible content supports it",Medium,Medium,Weeks,Codex,1-2 days
3,Investor blog meta descriptions too long or truncation-prone,"org-lot-map-buyers-guide and rv-lot-retirement-investment descriptions parse long; some shell extraction showed truncation around apostrophes","Long descriptions may be rewritten or clipped in search results","Rewrite descriptions to roughly 145-160 characters and avoid overlong punctuation-heavy phrasing",Medium,Low,Days,Codex,30 minutes
4,GBP and review data missing,"Context shows GBP access unknown and review sources not integrated","Local pack visibility depends heavily on GBP completeness, reviews, photos, and category alignment","Gather GBP access, categories, services, photos, review velocity, and competitor GBP links",High,Medium,Weeks,Site owner,1 week
5,Competitor benchmark missing,"Context says competitor domains and GBP links are not finalized","Keyword and content gaps cannot be ranked accurately without competitors","Pick 5-8 competitors: local RV parks, Gatlinburg RV rentals, nearby campground/resort pages",High,Low,Weeks,Site owner/Codex,1 day
6,Rental listing trust copy can be stronger,"Rentals page distinguishes platforms, but owner-managed/listing freshness transparency can be more explicit","Better trust language can lift clicks and reduce confusion between resort office and owner bookings","Add a short verification/owner-managed note near listings and availability search",Medium,Low,Days,Codex,1 hour
7,Footer/deep links could be expanded,"Guidelines call out footer opportunities; footer currently covers core pages but not all investor articles from every page","Deep internal links help crawl paths and distribute relevance","Add a compact investor/resources footer group or related-guides block where appropriate",Medium,Medium,Weeks,Codex,2-3 hours
8,Image performance opportunity on large listing images,"New covers return 394KB-642KB; acceptable but not aggressively optimized","Smaller responsive images improve page speed and mobile UX","Create optimized WebP/AVIF derivatives or responsive `srcset` for listing cards",Medium,Medium,Weeks,Codex,2-4 hours
9,Thank-you page intentionally noindexed but lacks canonical/meta description,"thank-you.html has noindex and no canonical; appropriate for conversion page but incomplete by normal page standards","Low SEO risk because it should not index","Leave noindex; optional canonical to itself for cleanliness",Low,Low,Days,Codex,15 minutes
10,Performance reporting cadence not established,"No GA4/GSC data in context","SEO decisions need monthly trend reporting","Create monthly report template after GSC/GA4 access is available",Medium,Low,Months,Codex,1 hour
